Seat No,Gender,DOB,Attempt,city,State,Category,Phy,Chem,Bio,Total,Year
NEET2024100299,Female,05/01/2000,1,Nashik,Maharashtra,General,152,49,127,328,2025
NEET2023100300,Male,08/05/2001,4,Chennai,Tamil Nadu,General,138,63,304,505,2023
NEET2026100301,Male,26/02/2001,2,Kolhapur,Maharashtra,General,124,106,130,360,2023
NEET2024100302,Male,04/11/2006,4,Delhi,Delhi,EWS,72,142,239,453,2026
NEET2026100303,Female,08/06/2002,4,Pune,Maharashtra,SC,55,65,123,243,2024
NEET2025100304,Male,11/10/2002,3,Aurangabad,Maharashtra,OBC,51,93,343,487,2024
NEET2026100305,Female,21/05/2008,1,Thane,Maharashtra,OBC,105,43,182,330,2026
NEET2025100306,Female,26/02/2007,2,Ratnagiri,Maharashtra,ST,48,165,66,279,2026
NEET2023100307,Male,05/02/2004,1,Sangli,Maharashtra,SC,74,150,97,321,2024
NEET2025100308,Female,12/06/2000,4,Kolkata,West Bengal,ST,45,131,319,495,2023
NEET2023100309,Female,08/03/2007,1,Sangli,Maharashtra,EWS,167,69,202,438,2024
NEET2023100310,Female,28/09/2001,4,Sangli,Maharashtra,OBC,113,130,360,603,2023
NEET2023100311,Female,28/09/2002,2,Pune,Maharashtra,General,141,59,292,492,2023
NEET2025100312,Female,09/12/2007,2,Nagpur,Maharashtra,SC,32,71,314,417,2024
NEET2025100313,Female,29/05/2008,3,Hyderabad,Telangana,EWS,98,60,75,233,2023
NEET2026100314,Female,13/12/2002,1,Bengaluru,Karnataka,ST,177,49,314,540,2024
NEET2023100315,Male,15/02/2004,1,Nagpur,Maharashtra,General,95,56,353,504,2023
NEET2024100316,Male,28/09/2002,1,Mumbai,Maharashtra,EWS,150,123,256,529,2026
NEET2025100317,Male,08/07/2002,3,Kolhapur,Maharashtra,General,93,136,223,452,2023
NEET2023100318,Female,04/01/2002,3,Nashik,Maharashtra,SC,162,41,265,468,2025
NEET2024100319,Female,19/12/2000,3,Sangli,Maharashtra,EWS,146,32,248,426,2024
NEET2024100320,Male,15/03/2005,1,Kolhapur,Maharashtra,ST,156,80,339,575,2023
NEET2023100321,Female,12/08/2002,3,Sangli,Maharashtra,General,118,32,231,381,2024
NEET2024100322,Female,10/12/2005,1,Nashik,Maharashtra,General,137,155,90,382,2024
NEET2023100323,Male,29/10/2005,4,Thane,Maharashtra,General,125,147,103,375,2023
NEET2025100324,Female,16/11/2004,4,Delhi,Delhi,SC,63,90,209,362,2025
NEET2024100325,Male,28/01/2005,2,Aurangabad,Maharashtra,General,89,49,163,301,2024
NEET2025100326,Male,15/01/2005,4,Solapur,Maharashtra,SC,110,134,121,365,2026
NEET2025100327,Male,21/12/2002,2,Chennai,Tamil Nadu,SC,60,53,140,253,2024
NEET2023100328,Female,08/01/2001,3,Bengaluru,Karnataka,OBC,93,121,262,476,2023
NEET2024100329,Male,14/07/2004,4,Chennai,Tamil Nadu,General,145,172,341,658,2024
NEET2024100330,Female,12/05/2001,3,Mumbai,Maharashtra,General,45,86,126,257,2025
NEET2024100331,Male,03/11/2000,3,Mumbai,Maharashtra,General,46,80,287,413,2023
NEET2026100332,Female,03/03/2005,1,Mumbai,Maharashtra,ST,73,176,281,530,2026
NEET2025100333,Female,08/12/2001,2,Kolhapur,Maharashtra,General,84,77,200,361,2024
NEET2026100334,Male,05/04/2007,1,Aurangabad,Maharashtra,SC,157,135,341,633,2026
NEET2023100335,Female,16/07/2001,3,Thane,Maharashtra,ST,81,164,187,432,2026
NEET2026100336,Female,10/11/2003,2,Kolkata,West Bengal,General,174,158,224,556,2025
NEET2026100337,Female,11/09/2006,2,Nashik,Maharashtra,OBC,37,101,89,227,2023
NEET2023100338,Male,12/10/2002,4,Delhi,Delhi,SC,91,98,333,522,2024
NEET2025100339,Male,22/12/2001,2,Nashik,Maharashtra,ST,111,121,74,306,2025
NEET2024100340,Male,20/12/2001,1,Solapur,Maharashtra,EWS,39,53,88,180,2026
NEET2024100341,Female,03/01/2000,1,Kolhapur,Maharashtra,General,81,63,234,378,2024
NEET2025100342,Male,30/07/2006,3,Bengaluru,Karnataka,ST,66,58,329,453,2023
NEET2026100343,Female,10/10/2003,3,Aurangabad,Maharashtra,OBC,112,64,140,316,2025
NEET2025100344,Female,03/07/2002,2,Delhi,Delhi,OBC,180,74,253,507,2023
NEET2024100345,Female,15/11/2007,2,Ratnagiri,Maharashtra,EWS,130,175,76,381,2023
NEET2025100346,Female,25/07/2005,2,Nagpur,Maharashtra,General,114,49,181,344,2025
NEET2023100347,Female,03/01/2005,3,Mumbai,Maharashtra,General,97,83,187,367,2023
NEET2026100348,Female,16/07/2000,4,Thane,Maharashtra,SC,142,137,145,424,2026
NEET2024100349,Female,19/02/2001,1,Chennai,Tamil Nadu,General,152,177,175,504,2025
NEET2025100350,Male,23/03/2000,4,Kolhapur,Maharashtra,OBC,96,56,97,249,2023
NEET2023100351,Female,18/02/2006,2,Kolkata,West Bengal,EWS,53,116,307,476,2026
NEET2024100352,Female,05/10/2001,3,Mumbai,Maharashtra,SC,55,114,165,334,2025
NEET2026100353,Male,30/08/2002,1,Pune,Maharashtra,SC,42,130,352,524,2023
NEET2023100354,Male,17/10/2004,2,Pune,Maharashtra,OBC,105,152,162,419,2025
NEET2026100355,Female,01/12/2000,3,Solapur,Maharashtra,General,59,108,263,430,2026
NEET2026100356,Male,27/01/2002,3,Kolhapur,Maharashtra,ST,127,124,155,406,2026
NEET2024100357,Male,14/12/2002,1,Nashik,Maharashtra,SC,98,174,91,363,2026
NEET2026100358,Female,25/06/2008,4,Ratnagiri,Maharashtra,EWS,88,171,91,350,2024
NEET2024100359,Male,04/05/2005,4,Aurangabad,Maharashtra,OBC,50,131,77,258,2024
NEET2026100360,Male,17/05/2002,4,Hyderabad,Telangana,OBC,79,62,81,222,2024
NEET2026100361,Female,03/09/2006,3,Aurangabad,Maharashtra,SC,111,47,104,262,2026
NEET2023100362,Female,20/02/2000,2,Hyderabad,Telangana,OBC,180,163,274,617,2023
NEET2025100363,Female,08/03/2001,3,Ratnagiri,Maharashtra,ST,55,103,334,492,2026
NEET2025100364,Female,01/06/2006,2,Ratnagiri,Maharashtra,EWS,151,39,148,338,2026
NEET2026100365,Female,07/06/2000,3,Thane,Maharashtra,General,114,90,85,289,2025
NEET2023100366,Male,24/11/2008,2,Aurangabad,Maharashtra,SC,109,101,311,521,2026
NEET2023100367,Male,05/09/2008,4,Chennai,Tamil Nadu,OBC,112,98,273,483,2026
NEET2024100368,Male,22/04/2008,3,Solapur,Maharashtra,EWS,162,125,88,375,2026
NEET2024100369,Male,09/07/2001,2,Hyderabad,Telangana,General,164,175,74,413,2024
NEET2025100370,Female,15/05/2000,4,Solapur,Maharashtra,EWS,42,122,161,325,2026
NEET2025100371,Female,15/02/2007,4,Kolkata,West Bengal,OBC,61,37,183,281,2026
NEET2025100372,Male,31/07/2006,3,Sangli,Maharashtra,General,119,118,143,380,2026
NEET2024100373,Male,22/07/2000,3,Nagpur,Maharashtra,ST,176,84,173,433,2023
NEET2024100374,Male,01/10/2008,2,Hyderabad,Telangana,SC,32,151,127,310,2025
NEET2025100375,Female,29/12/2007,3,Bengaluru,Karnataka,OBC,100,138,252,490,2026
NEET2023100376,Male,22/05/2003,3,Delhi,Delhi,EWS,163,131,359,653,2025
NEET2025100377,Female,07/05/2003,3,Delhi,Delhi,SC,57,153,92,302,2025
NEET2024100378,Male,11/05/2007,4,Bengaluru,Karnataka,SC,106,78,136,320,2024
NEET2026100379,Female,02/02/2008,4,Mumbai,Maharashtra,General,157,105,192,454,2024
NEET2025100380,Female,06/11/2003,2,Bengaluru,Karnataka,EWS,86,166,303,555,2024
NEET2024100381,Female,18/04/2003,1,Pune,Maharashtra,OBC,150,62,192,404,2025
NEET2025100382,Female,03/07/2002,3,Bengaluru,Karnataka,ST,108,137,229,474,2023
NEET2026100383,Male,11/04/2005,1,Mumbai,Maharashtra,ST,179,178,96,453,2025
NEET2025100384,Female,19/08/2004,4,Mumbai,Maharashtra,OBC,68,65,162,295,2025
NEET2024100385,Female,10/01/2008,1,Nagpur,Maharashtra,General,50,154,230,434,2026
NEET2026100386,Male,25/01/2003,2,Nashik,Maharashtra,EWS,73,177,141,391,2026
NEET2026100387,Male,07/02/2007,1,Thane,Maharashtra,EWS,133,139,304,576,2024
NEET2024100388,Male,11/03/2008,1,Kolhapur,Maharashtra,OBC,33,112,331,476,2024
NEET2023100389,Female,11/10/2007,3,Kolkata,West Bengal,OBC,118,109,126,353,2023
NEET2025100390,Female,06/07/2000,2,Aurangabad,Maharashtra,SC,104,146,326,576,2026
NEET2023100391,Male,11/01/2004,2,Hyderabad,Telangana,OBC,78,72,266,416,2024
NEET2023100392,Female,25/03/2008,1,Mumbai,Maharashtra,ST,180,159,146,485,2025
NEET2023100393,Male,25/08/2008,1,Sangli,Maharashtra,ST,42,42,115,199,2026
NEET2024100394,Male,06/04/2004,1,Pune,Maharashtra,SC,170,94,302,566,2026
NEET2026100395,Male,03/06/2007,1,Pune,Maharashtra,SC,163,99,130,392,2023
NEET2025100396,Male,19/10/2008,3,Pune,Maharashtra,ST,157,80,162,399,2025
NEET2026100397,Female,18/10/2001,2,Mumbai,Maharashtra,General,170,157,166,493,2023
NEET2024100398,Male,14/07/2007,1,Pune,Maharashtra,General,58,176,312,546,2025
NEET2026100399,Male,24/03/2007,1,Nashik,Maharashtra,OBC,146,105,195,446,2023
NEET2023100400,Male,05/04/2003,1,Kolhapur,Maharashtra,OBC,110,139,119,368,2024
NEET2025100401,Female,08/09/2003,2,Kolhapur,Maharashtra,General,142,98,107,347,2026
NEET2026100402,Male,27/06/2004,1,Solapur,Maharashtra,OBC,99,128,304,531,2023
NEET2026100403,Male,14/10/2001,4,Pune,Maharashtra,SC,136,153,351,640,2023
NEET2023100404,Female,04/09/2007,4,Kolkata,West Bengal,General,63,153,309,525,2023
NEET2024100405,Female,07/12/2002,1,Delhi,Delhi,ST,110,33,328,471,2024
NEET2023100406,Male,27/05/2005,2,Kolhapur,Maharashtra,EWS,128,68,345,541,2026
NEET2025100407,Male,23/07/2005,3,Chennai,Tamil Nadu,SC,72,49,311,432,2023
NEET2024100408,Male,07/09/2005,4,Nashik,Maharashtra,ST,170,126,266,562,2026
NEET2023100409,Female,26/12/2000,1,Chennai,Tamil Nadu,General,157,144,221,522,2026
NEET2023100410,Female,15/08/2004,2,Mumbai,Maharashtra,ST,172,170,60,402,2025
NEET2025100411,Female,28/01/2004,3,Chennai,Tamil Nadu,ST,43,87,292,422,2023
NEET2025100412,Female,03/02/2001,3,Hyderabad,Telangana,General,86,30,234,350,2023
NEET2025100413,Male,03/11/2001,2,Solapur,Maharashtra,General,65,134,114,313,2026
NEET2026100414,Male,02/06/2002,1,Solapur,Maharashtra,ST,78,116,115,309,2026
NEET2023100415,Male,21/05/2007,4,Ratnagiri,Maharashtra,EWS,159,64,315,538,2026
NEET2024100416,Male,13/09/2005,4,Hyderabad,Telangana,EWS,75,178,148,401,2025
NEET2025100417,Female,26/08/2005,3,Kolkata,West Bengal,SC,128,137,187,452,2026
NEET2025100418,Male,30/06/2001,2,Nagpur,Maharashtra,OBC,135,161,213,509,2025
NEET2025100419,Male,13/09/2007,3,Kolhapur,Maharashtra,EWS,63,75,317,455,2026
NEET2026100420,Male,15/07/2006,1,Ratnagiri,Maharashtra,General,136,166,206,508,2026
NEET2024100421,Female,18/08/2001,3,Mumbai,Maharashtra,OBC,44,81,196,321,2023
NEET2023100422,Female,29/09/2007,4,Hyderabad,Telangana,General,105,82,337,524,2024
NEET2025100423,Male,28/04/2008,4,Delhi,Delhi,ST,173,129,181,483,2026
NEET2023100424,Female,02/11/2008,2,Delhi,Delhi,EWS,110,171,87,368,2026
NEET2024100425,Male,12/07/2002,3,Kolkata,West Bengal,ST,124,180,339,643,2024
NEET2023100426,Female,28/08/2007,1,Pune,Maharashtra,ST,77,74,323,474,2025
NEET2025100427,Male,29/03/2006,3,Aurangabad,Maharashtra,ST,63,71,359,493,2024
NEET2026100428,Female,12/06/2000,1,Nagpur,Maharashtra,SC,112,43,214,369,2024
NEET2026100429,Female,23/01/2002,1,Sangli,Maharashtra,SC,47,159,141,347,2024
NEET2025100430,Male,23/05/2002,4,Delhi,Delhi,EWS,114,114,244,472,2023
NEET2024100431,Male,14/04/2001,3,Delhi,Delhi,ST,118,144,183,445,2023
NEET2025100432,Female,29/04/2004,4,Aurangabad,Maharashtra,General,168,102,72,342,2025
NEET2023100433,Male,22/04/2007,1,Nashik,Maharashtra,General,112,161,102,375,2024
NEET2024100434,Female,08/07/2007,1,Delhi,Delhi,OBC,84,138,113,335,2023
NEET2023100435,Male,23/02/2005,2,Bengaluru,Karnataka,SC,114,39,104,257,2023
NEET2026100436,Female,13/06/2006,4,Chennai,Tamil Nadu,ST,88,96,268,452,2025
NEET2023100437,Male,10/03/2000,1,Thane,Maharashtra,SC,60,166,63,289,2023
NEET2026100438,Female,02/04/2003,4,Hyderabad,Telangana,General,107,52,204,363,2026
NEET2025100439,Male,02/10/2001,3,Sangli,Maharashtra,SC,86,64,260,410,2023
NEET2023100440,Male,17/03/2006,4,Chennai,Tamil Nadu,EWS,172,66,123,361,2023
NEET2024100441,Male,02/06/2003,2,Nashik,Maharashtra,OBC,118,84,271,473,2025
NEET2026100442,Male,06/03/2002,3,Pune,Maharashtra,General,76,175,87,338,2025
NEET2025100443,Male,06/02/2001,2,Nashik,Maharashtra,General,178,154,229,561,2025
NEET2026100444,Female,12/12/2006,3,Pune,Maharashtra,EWS,79,111,308,498,2024
NEET2024100445,Male,05/05/2006,3,Ratnagiri,Maharashtra,OBC,123,110,279,512,2024
NEET2024100446,Female,27/12/2007,4,Bengaluru,Karnataka,ST,141,100,244,485,2026
NEET2023100447,Male,09/01/2004,1,Hyderabad,Telangana,SC,108,154,342,604,2024
NEET2023100448,Male,15/01/2006,4,Nashik,Maharashtra,EWS,97,49,98,244,2024
NEET2026100449,Male,30/05/2000,3,Sangli,Maharashtra,ST,96,169,336,601,2024
NEET2023100450,Female,28/08/2008,3,Ratnagiri,Maharashtra,EWS,104,64,297,465,2023
NEET2026100451,Male,07/06/2007,2,Nashik,Maharashtra,EWS,72,161,131,364,2024
NEET2024100452,Female,02/04/2008,2,Bengaluru,Karnataka,General,153,121,80,354,2025
NEET2025100453,Female,22/02/2004,4,Nashik,Maharashtra,ST,40,82,325,447,2023
NEET2025100454,Female,12/06/2000,2,Delhi,Delhi,ST,112,56,326,494,2026
NEET2026100455,Male,05/02/2004,4,Ratnagiri,Maharashtra,SC,49,162,188,399,2025
NEET2024100456,Female,17/06/2005,2,Hyderabad,Telangana,OBC,153,31,316,500,2023
NEET2024100457,Male,08/10/2005,3,Delhi,Delhi,EWS,101,84,136,321,2023
NEET2026100458,Female,31/05/2007,4,Nashik,Maharashtra,OBC,136,114,118,368,2024
NEET2023100459,Male,05/04/2007,2,Chennai,Tamil Nadu,OBC,135,35,184,354,2023
NEET2024100460,Female,02/06/2006,1,Nagpur,Maharashtra,SC,44,72,192,308,2023
NEET2024100461,Female,06/06/2002,2,Solapur,Maharashtra,EWS,150,153,147,450,2024
NEET2025100462,Female,27/12/2006,1,Delhi,Delhi,OBC,160,97,145,402,2026
NEET2026100463,Male,27/04/2004,1,Nagpur,Maharashtra,OBC,57,34,163,254,2026
NEET2023100464,Male,23/11/2006,4,Ratnagiri,Maharashtra,OBC,39,166,317,522,2023
NEET2025100465,Male,08/09/2008,4,Delhi,Delhi,OBC,140,163,275,578,2026
NEET2023100466,Female,08/11/2008,2,Hyderabad,Telangana,SC,127,119,354,600,2026
NEET2026100467,Female,02/08/2008,2,Nashik,Maharashtra,General,51,102,338,491,2023
NEET2026100468,Male,25/06/2006,3,Sangli,Maharashtra,ST,60,163,63,286,2025
NEET2025100469,Female,12/03/2001,3,Nagpur,Maharashtra,EWS,139,179,189,507,2025
NEET2026100470,Male,19/08/2007,3,Thane,Maharashtra,EWS,82,135,342,559,2026
NEET2024100471,Male,05/11/2002,2,Aurangabad,Maharashtra,ST,177,118,263,558,2024
NEET2023100472,Male,14/02/2001,4,Nashik,Maharashtra,General,160,132,233,525,2023
NEET2025100473,Male,18/08/2001,3,Solapur,Maharashtra,General,141,52,92,285,2023
NEET2023100474,Male,15/02/2008,4,Thane,Maharashtra,ST,132,163,206,501,2023
NEET2023100475,Male,06/04/2002,2,Chennai,Tamil Nadu,General,162,103,159,424,2025
NEET2025100476,Female,06/09/2002,3,Delhi,Delhi,ST,30,70,104,204,2026
NEET2023100477,Female,28/07/2006,3,Nashik,Maharashtra,SC,162,33,95,290,2025
NEET2023100478,Female,15/07/2002,2,Ratnagiri,Maharashtra,ST,79,146,266,491,2023
NEET2023100479,Female,07/04/2006,3,Pune,Maharashtra,ST,158,105,234,497,2026
NEET2026100480,Male,25/04/2006,4,Solapur,Maharashtra,General,92,116,294,502,2025
NEET2026100481,Female,03/10/2000,1,Thane,Maharashtra,SC,86,88,221,395,2024
NEET2024100482,Female,22/03/2003,3,Pune,Maharashtra,SC,132,117,98,347,2024
NEET2024100483,Male,07/06/2006,2,Aurangabad,Maharashtra,SC,76,78,315,469,2024
NEET2023100484,Male,27/07/2002,1,Nashik,Maharashtra,ST,93,121,139,353,2023
NEET2025100485,Female,27/07/2008,4,Chennai,Tamil Nadu,EWS,168,40,306,514,2025
NEET2024100486,Male,03/07/2005,1,Nagpur,Maharashtra,EWS,160,101,263,524,2026
NEET2026100487,Male,13/05/2005,4,Sangli,Maharashtra,General,38,158,237,433,2026
NEET2026100488,Male,16/07/2003,3,Bengaluru,Karnataka,SC,32,33,167,232,2025
NEET2026100489,Female,05/02/2002,3,Sangli,Maharashtra,OBC,97,90,197,384,2026
NEET2026100490,Female,02/10/2004,4,Nashik,Maharashtra,OBC,137,125,246,508,2024
NEET2024100491,Female,16/06/2006,4,Delhi,Delhi,OBC,88,55,198,341,2024
NEET2024100492,Female,20/12/2008,4,Bengaluru,Karnataka,OBC,68,151,64,283,2025
NEET2023100493,Female,21/10/2008,1,Solapur,Maharashtra,OBC,106,94,347,547,2023
NEET2026100494,Female,01/06/2002,3,Chennai,Tamil Nadu,SC,95,151,109,355,2025
NEET2026100495,Male,14/04/2006,3,Sangli,Maharashtra,EWS,95,118,70,283,2024
NEET2025100496,Female,20/06/2006,4,Ratnagiri,Maharashtra,ST,167,74,205,446,2023
NEET2024100497,Female,09/04/2004,4,Ratnagiri,Maharashtra,EWS,103,148,134,385,2026
NEET2025100498,Female,19/10/2000,3,Pune,Maharashtra,SC,71,117,176,364,2026
NEET2026100499,Female,16/01/2003,2,Kolkata,West Bengal,OBC,143,122,360,625,2023
NEET2024100500,Male,27/05/2001,4,Bengaluru,Karnataka,General,90,94,100,284,2023
NEET2023100501,Female,18/09/2000,1,Kolkata,West Bengal,General,151,170,87,408,2025
NEET2024100502,Male,06/12/2006,3,Nagpur,Maharashtra,ST,51,129,218,398,2024
NEET2025100503,Female,21/06/2001,4,Sangli,Maharashtra,ST,73,37,77,187,2025
NEET2026100504,Female,24/02/2006,3,Solapur,Maharashtra,SC,64,168,150,382,2026
NEET2025100505,Female,19/01/2006,3,Nashik,Maharashtra,OBC,52,143,217,412,2025
NEET2025100506,Female,13/02/2000,1,Mumbai,Maharashtra,ST,163,64,236,463,2026
NEET2023100507,Female,12/05/2003,2,Mumbai,Maharashtra,ST,140,104,178,422,2026
NEET2024100508,Female,04/06/2004,1,Nashik,Maharashtra,ST,71,129,253,453,2024
NEET2025100509,Female,17/10/2005,2,Hyderabad,Telangana,General,99,102,332,533,2024
NEET2025100510,Female,13/07/2001,2,Aurangabad,Maharashtra,SC,58,146,291,495,2023
NEET2023100511,Female,15/09/2001,3,Mumbai,Maharashtra,OBC,166,35,155,356,2026
NEET2023100512,Female,26/02/2008,2,Mumbai,Maharashtra,SC,89,53,137,279,2026
NEET2023100513,Female,30/06/2003,1,Hyderabad,Telangana,OBC,157,125,297,579,2023
NEET2026100514,Male,27/12/2002,2,Hyderabad,Telangana,SC,130,48,338,516,2026
NEET2024100515,Male,21/02/2000,2,Pune,Maharashtra,ST,93,128,286,507,2023
NEET2025100516,Female,04/11/2005,2,Delhi,Delhi,General,83,151,259,493,2023
NEET2023100517,Male,03/11/2002,1,Solapur,Maharashtra,OBC,106,80,244,430,2026
NEET2023100518,Female,22/08/2003,2,Mumbai,Maharashtra,General,72,100,359,531,2023
NEET2023100519,Male,08/07/2006,2,Hyderabad,Telangana,ST,151,69,250,470,2023
NEET2025100520,Male,10/09/2007,1,Ratnagiri,Maharashtra,OBC,116,45,90,251,2026
NEET2024100521,Male,11/08/2002,4,Kolhapur,Maharashtra,SC,172,118,284,574,2024
NEET2025100522,Female,23/10/2002,2,Kolkata,West Bengal,EWS,40,154,284,478,2024
NEET2024100523,Male,04/02/2006,2,Kolhapur,Maharashtra,ST,112,149,200,461,2025
NEET2026100524,Male,14/12/2002,1,Sangli,Maharashtra,EWS,123,146,60,329,2025
NEET2026100525,Male,13/09/2008,4,Ratnagiri,Maharashtra,EWS,91,112,92,295,2024
NEET2023100526,Male,16/11/2006,1,Aurangabad,Maharashtra,General,112,134,224,470,2024
NEET2026100527,Male,01/01/2002,1,Chennai,Tamil Nadu,General,38,81,114,233,2026
NEET2025100528,Male,18/05/2007,1,Solapur,Maharashtra,General,164,95,85,344,2024
NEET2025100529,Female,09/05/2007,3,Solapur,Maharashtra,General,50,149,91,290,2025
NEET2024100530,Male,06/12/2005,1,Mumbai,Maharashtra,OBC,48,107,99,254,2026
NEET2024100531,Female,15/02/2002,1,Nashik,Maharashtra,EWS,164,93,351,608,2025
NEET2024100532,Female,25/07/2007,3,Solapur,Maharashtra,OBC,139,56,145,340,2026
NEET2025100533,Female,14/12/2003,4,Kolkata,West Bengal,SC,110,170,226,506,2024
NEET2025100534,Female,25/04/2006,4,Sangli,Maharashtra,ST,84,126,341,551,2026
NEET2024100535,Female,01/01/2000,1,Bengaluru,Karnataka,SC,38,102,68,208,2024
NEET2024100536,Male,29/05/2002,1,Chennai,Tamil Nadu,ST,110,35,201,346,2025
NEET2024100537,Male,01/10/2001,3,Nagpur,Maharashtra,SC,97,123,358,578,2023
NEET2025100538,Female,25/05/2006,2,Thane,Maharashtra,ST,175,85,99,359,2023
NEET2026100539,Male,04/09/2006,1,Delhi,Delhi,SC,106,39,355,500,2025
NEET2026100540,Male,13/11/2004,3,Thane,Maharashtra,EWS,60,88,65,213,2023
NEET2024100541,Male,31/07/2003,1,Sangli,Maharashtra,ST,174,68,227,469,2026
NEET2024100542,Female,10/06/2008,3,Ratnagiri,Maharashtra,ST,177,159,106,442,2024
NEET2023100543,Female,25/06/2001,3,Kolhapur,Maharashtra,General,51,151,352,554,2026
NEET2024100544,Female,17/08/2005,4,Thane,Maharashtra,EWS,63,64,306,433,2024
NEET2023100545,Female,17/04/2006,4,Ratnagiri,Maharashtra,SC,164,93,184,441,2023
NEET2025100546,Male,05/04/2001,3,Delhi,Delhi,SC,135,138,247,520,2023
NEET2024100547,Female,18/08/2008,1,Aurangabad,Maharashtra,OBC,73,119,286,478,2024
NEET2023100548,Male,08/09/2007,2,Kolhapur,Maharashtra,SC,69,51,117,237,2023
NEET2026100549,Male,07/11/2003,3,Bengaluru,Karnataka,OBC,58,108,290,456,2024
NEET2026100550,Male,14/04/2002,1,Sangli,Maharashtra,ST,163,96,340,599,2023
NEET2025100551,Male,12/11/2002,4,Nagpur,Maharashtra,General,45,102,162,309,2023
NEET2023100552,Female,10/05/2004,4,Delhi,Delhi,OBC,99,122,115,336,2026
NEET2023100553,Male,13/09/2005,2,Bengaluru,Karnataka,EWS,55,110,308,473,2026
NEET2025100554,Female,15/04/2006,4,Kolkata,West Bengal,ST,35,40,186,261,2024
NEET2024100555,Female,16/03/2000,1,Kolhapur,Maharashtra,SC,120,120,214,454,2026
NEET2025100556,Female,30/04/2000,2,Sangli,Maharashtra,General,101,87,137,325,2026
NEET2024100557,Female,02/11/2005,3,Delhi,Delhi,EWS,88,136,183,407,2025
NEET2024100558,Male,13/01/2005,3,Sangli,Maharashtra,EWS,63,82,130,275,2024
NEET2025100559,Male,27/10/2004,1,Kolkata,West Bengal,OBC,67,174,140,381,2025
NEET2026100560,Female,19/08/2001,4,Bengaluru,Karnataka,SC,37,111,271,419,2024
NEET2023100561,Female,26/09/2008,2,Nashik,Maharashtra,EWS,57,63,154,274,2024
NEET2026100562,Male,03/08/2002,4,Delhi,Delhi,SC,36,121,100,257,2024
NEET2024100563,Male,06/05/2004,1,Solapur,Maharashtra,ST,151,65,143,359,2023
NEET2023100564,Male,10/01/2003,4,Thane,Maharashtra,EWS,86,81,164,331,2026
NEET2026100565,Male,18/09/2007,4,Kolhapur,Maharashtra,SC,147,93,278,518,2026
NEET2023100566,Male,09/11/2006,4,Bengaluru,Karnataka,ST,176,167,328,671,2023
NEET2026100567,Male,03/10/2002,2,Sangli,Maharashtra,SC,167,131,80,378,2026
NEET2024100568,Female,18/06/2004,3,Kolkata,West Bengal,EWS,107,103,296,506,2023
NEET2023100569,Male,27/09/2007,2,Sangli,Maharashtra,EWS,66,148,291,505,2024
NEET2024100570,Female,29/05/2004,2,Thane,Maharashtra,ST,112,145,72,329,2023
NEET2023100571,Female,21/10/2002,3,Kolhapur,Maharashtra,General,71,61,106,238,2026
NEET2026100572,Male,25/02/2008,2,Hyderabad,Telangana,SC,160,70,253,483,2024
NEET2026100573,Female,26/10/2001,3,Chennai,Tamil Nadu,ST,67,75,86,228,2025
NEET2023100574,Female,09/01/2007,1,Nagpur,Maharashtra,ST,60,63,163,286,2026
NEET2024100575,Female,04/08/2005,4,Sangli,Maharashtra,ST,31,156,181,368,2026
NEET2025100576,Male,21/11/2000,1,Ratnagiri,Maharashtra,OBC,31,92,340,463,2024
NEET2023100577,Female,13/08/2000,3,Delhi,Delhi,General,119,39,134,292,2023
NEET2024100578,Female,22/03/2001,3,Thane,Maharashtra,General,75,71,205,351,2023
NEET2023100579,Female,13/08/2008,1,Aurangabad,Maharashtra,SC,112,124,254,490,2026
NEET2026100580,Male,05/07/2001,2,Pune,Maharashtra,EWS,100,114,329,543,2023
NEET2025100581,Female,23/03/2001,3,Ratnagiri,Maharashtra,SC,165,52,307,524,2025
NEET2026100582,Female,15/06/2001,2,Ratnagiri,Maharashtra,EWS,174,157,326,657,2024
NEET2023100583,Female,12/12/2007,1,Aurangabad,Maharashtra,OBC,79,30,120,229,2026
NEET2024100584,Male,22/08/2004,2,Mumbai,Maharashtra,SC,115,119,346,580,2025
NEET2025100585,Male,10/11/2008,1,Pune,Maharashtra,SC,108,106,319,533,2025
NEET2024100586,Female,10/06/2004,3,Bengaluru,Karnataka,ST,175,37,149,361,2026
NEET2026100587,Female,09/12/2008,4,Mumbai,Maharashtra,ST,64,153,139,356,2023
NEET2023100588,Male,04/11/2005,3,Aurangabad,Maharashtra,SC,174,110,344,628,2023
NEET2024100589,Female,03/09/2001,2,Aurangabad,Maharashtra,EWS,37,116,252,405,2023
NEET2025100590,Female,09/10/2008,1,Hyderabad,Telangana,ST,108,110,76,294,2024
NEET2025100591,Male,02/03/2004,1,Solapur,Maharashtra,SC,107,85,328,520,2023
NEET2023100592,Female,20/09/2008,2,Nashik,Maharashtra,OBC,53,143,319,515,2025
NEET2024100593,Male,03/06/2005,2,Bengaluru,Karnataka,OBC,164,109,227,500,2023
NEET2025100594,Male,24/02/2005,1,Thane,Maharashtra,SC,163,59,62,284,2026
NEET2025100595,Male,07/07/2000,3,Pune,Maharashtra,OBC,163,109,71,343,2024
NEET2023100596,Female,19/03/2003,2,Aurangabad,Maharashtra,OBC,166,111,285,562,2025
NEET2024100597,Female,13/04/2001,3,Mumbai,Maharashtra,SC,173,161,112,446,2024
